기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2017-당기순이익,2016-당기순이익,2015-당기순이익,2014-당기순이익,2013-당기순이익
00456218,1,1,080160,모두투어,334585105230.0,161190828231.0,277993782587.0,200630000000.0,146830000000.0,12180000000.0,173390000000.0,2019-12-02,318465000000.0,16850.0,16850.0,0.8308612016542156,1.975701741190962,1.3664101341687667,0.08553530215251283,26.146551724137932,24260000000.0,19390000000.0,12860000000.0,17110000000.0,17820000000.0
00458234,1,1,267850,아시아나IDT,215213976845.0,154556267837.0,26702899530.0,0.0,0.0,0.0,0.0,2019-12-02,299145000000.0,26950.0,26950.0,0.12407604711115852,1.9355086932837167,,0.0,inf,16200000000.0,10910000000.0,11220000000.0,9030000000.0,7820000000.0
00458562,1,1,089530,에이티세미콘,100545396840.0,37022002712.0,18876798440.0,16769999999.0,50210000000.0,3720000000.0,63520000000.0,2019-12-02,42258615300.0,594.0,594.0,0.18774403436926154,1.1414459565771315,0.33399721169089824,-1.1062832908535931,11.359842822580646,6060000000.0,-12830000000.0,-39000000000.0,-20630000000.0,-13390000000.0
00459871,1,1,072710,농심홀딩스,1194827992549.0,895898220565.0,88664937780.0,213200000000.0,231569999999.0,46770000000.0,298930000000.0,2019-12-02,352935819000.0,76100.0,76100.0,0.07420728199616887,0.3939463332982404,0.9206719350560119,-0.2429053538484854,7.546200962155227,22450000000.0,13800000000.0,11740000000.0,14760000000.0,16260000000.0
00462121,1,1,073490,이노와이어리스,97581282797.0,67104115750.0,20762193132.0,48790000000.0,17540000000.0,220000000.0,30480000000.0,2019-12-02,166869500000.0,27800.0,27800.0,0.21276819218693757,2.486725264686913,2.781641961231471,0.1097264628946572,758.4977272727273,3940000000.0,-7770000000.0,-2520000000.0,1610000000.0,1290000000.0
00463342,1,1,041910,에스텍파마,98344935763.0,89250951101.0,9845454102.0,46700000000.0,6160000000.0,6590000000.0,9090000000.0,2019-12-02,123741935200.0,10400.0,10400.0,0.10011144982316542,1.3864494851149385,7.5811688311688314,0.30393899965450033,18.777228406676784,2860000000.0,3020000000.0,-520000000.0,3030000000.0,3710000000.0
00466428,1,1,074430,아미노로직스,56858957553.0,53187874074.0,7083631858.0,31900000000.0,2480000000.0,8000000000.0,3670000000.0,2019-12-02,170384077360.0,1940.0,1940.0,0.12458251369447157,3.2034383837741958,12.862903225806452,0.16568449609498181,21.29800967,540000000.0,-3740000000.0,-980000000.0,-8100000000.0,-10770000000.0
00468374,1,1,074600,원익QnC,359501282519.0,221137475160.0,73470281474.0,104109999999.0,85870000000.0,41190000000.0,138360000000.0,2019-12-02,328600000000.0,12500.0,12500.0,0.20436723051222222,1.4859534765070799,1.212414114347269,-0.10423006695374315,7.977664481670308,20860000000.0,43100000000.0,15019999999.0,7940000000.0,5180000000.0
00469799,1,1,074610,이엔플러스,91298143581.0,38496867534.0,3710027891.0,37990000000.0,51720000000.0,-8340000000.0,52800000000.0,2019-12-02,286918425750.0,8250.0,8250.0,0.04063640010060502,7.453033042145491,0.7345320959010054,-0.05161745872990522,-34.40268893884892,-9260000000.0,2160000000.0,620000000.0,509999999.0,-1750000000.0
00471068,1,1,077360,덕산하이메탈,196250217184.0,189199921725.0,8459814977.0,58360000000.0,6120000000.0,12090000000.0,7050000000.0,2019-12-02,167662537380.0,7380.0,7380.0,0.04310728975687328,0.886165997593253,9.5359477124183,0.30603139378541117,13.867869096774193,1820000000.0,-17550000000.0,-9240000000.0,42960000000.0,30450000000.0
00472890,1,1,075970,동국알앤에스,123725551379.0,77738614067.0,18197683501.0,60429999999.0,32389999999.0,3060000000.0,45990000000.0,2019-12-02,43884000000.0,2385.0,2385.0,0.14708104589694884,0.5645071053386419,1.8656992899310187,0.32904931179928903,14.341176470588236,1720000000.0,969999999.0,-3360000000.0,1360000000.0,370000000.0
00473400,1,1,077280,한컴지엠디,68120000000.0,45980000000.0,6950000000.0,9710000000.0,4380000000.0,1560000000.0,22140000000.0,2019-12-02,25356460545.0,2155.0,2155.0,0.10202583675866118,0.5514671714876033,2.2168949771689497,-0.4902103737207539,16.254141375,960000000.0,-200000000.0,-570000000.0,-6730000000.0,-5960000000.0
00474588,1,1,107640,한중엔시에스,96000000000.0,21220000000.0,12360000000.0,47480000000.0,53160000000.0,1220000000.0,74780000000.0,2019-12-02,17457000000.0,4600.0,4600.0,0.12875,0.8226672950047126,0.8931527464258842,-1.5638425846365356,14.309016393442622,-580000000.0,-1080000000.0,580000000.0,-210000000.0,919999999.0
00475718,1,1,083470,이엠앤아이,32297395108.0,-31538667504.0,1190408475.0,14560000000.0,63740000000.0,-48770000000.0,63840000000.0,2019-12-02,,,,0.03685772400589477,,0.22842798870411044,,,-26739999999.0,3379999999.0,5070000000.0,6230000000.0,6380000000.0
00475976,1,1,083640,인콘,97506793670.0,51251224475.0,7486186149.0,53220000000.0,46230000000.0,-1210000000.0,46260000000.0,2019-12-02,116241740570.0,1465.0,1465.0,0.0767760467474307,2.2680773339708584,1.1512005191434134,0.05987522180820008,-96.06755419008265,860000000.0,-880000000.0,2230000000.0,2370000000.0,3260000000.0
00475985,1,1,048870,시너지이노베이션,122005091528.0,70593512023.0,18357132697.0,50460000000.0,46710000000.0,-2180000000.0,51410000000.0,2019-12-02,126951556275.0,1975.0,1975.0,0.1504620214377452,1.7983459476224677,1.0802825947334618,-0.007483169390551845,-58.23465884174312,-8530000000.0,12919999999.0,-48370000000.0,-17700000000.0,-39370000000.0
00476498,1,1,078340,컴투스,909300696179.0,844496535108.0,422909266881.0,774010000000.0,63220000000.0,129690000000.0,64800000000.0,2019-12-02,1277635506000.0,99300.0,99300.0,0.465092866043235,1.5128960900196082,12.243119266055047,0.5550957191385381,9.851457367568818,140400000000.0,148680000000.0,123350000000.0,77920000000.0,19820000000.0
00477257,1,1,078650,코렌,75066307732.0,32199770894.0,13169999999.0,25320000000.0,30780000000.0,6270000000.0,42870000000.0,2019-12-02,72326891960.0,1730.0,1730.0,0.17544488861793003,2.246192750814794,0.8226120857699805,-0.24264833624685453,11.535389467304626,-21150000000.0,-20760000000.0,-14960000000.0,-9240000000.0,9370000000.0
00478900,1,1,093190,빅솔론,162918103940.0,146257567471.0,28402055083.0,127200000000.0,15340000000.0,14460000000.0,16660000000.0,2019-12-02,109469369450.0,5690.0,5690.0,0.17433332696690357,0.7484697806949758,8.292046936114733,1.0097801837662819,7.570495812586445,20300000000.0,13530000000.0,19160000000.0,13040000000.0,16850000000.0
00479705,1,1,079190,EMW,85352023964.0,25624056812.0,20402915346.0,50640000000.0,47490000000.0,-15230000000.0,59729999999.0,2019-12-02,,,,0.2390443061386054,,1.0663297536323437,,,-4660000000.0,4610000000.0,-9300000000.0,-10690000000.0,4110000000.0
00479787,1,1,064290,인텍플러스,30307808890.0,16505828208.0,2035238326.0,17870000000.0,11130000000.0,-6509999999.0,13800000000.0,2019-12-02,53561561460.0,4380.0,4380.0,0.06715227528940644,3.245009022573004,1.6055705300988319,0.0759873291416176,-8.227582406793791,229999999.0,-3550000000.0,450000000.0,-5640000000.0,-6820000000.0
00480048,1,1,080420,모다이노칩,644227913393.0,351623405211.0,203664747103.0,221580000000.0,193710000000.0,25660000000.0,292600000000.0,2019-12-02,243948163320.0,3060.0,3060.0,0.31613772528163936,0.6937768069608822,1.1438748644881525,-0.2911274224550698,9.506943231488698,37310000000.0,21680000000.0,11220000000.0,17060000000.0,18680000000.0
00480367,1,1,100090,삼강엠앤티,538058343411.0,225691597460.0,-21637999953.0,55179999999.0,157930000000.0,-60179999999.0,312370000000.0,2019-12-02,128656049580.0,4635.0,4635.0,-0.04021496965519899,0.5700524566618042,0.3493953017096182,-1.9990509644948793,-2.137853931241905,94350000000.0,3160000000.0,7840000000.0,3670000000.0,-14480000000.0
