기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2014-당기순이익,2013-당기순이익,2012-당기순이익,2011-당기순이익,2010-당기순이익,증자
00309503,1,1,047810,한국항공우주,2808158000000.0,1214450000000.0,508378000000.0,1912709999999.0,921440000000.0,259190000000.0,1593710000000.0,3039740000000.0,59850000000.0,2016-08-01,7875988645600.0,80800.0,80800.0,0.18103610979154308,6.485230882786446,2.0757835561718614,0.0405028516867165,30.38693099888113,132300000000.0,35780000000.0,73940000000.0,75900000000.0,78840000000.0,0
00309831,1,1,061040,알에프텍,176819975994.0,106974903104.0,38843958799.0,106400000000.0,68470000000.0,5670000000.0,69850000000.0,397130000000.0,20420000000.0,2016-08-01,76962000000.0,6060.0,6060.0,0.2196808283715528,0.7194397729454194,1.553965240251205,0.47490969569397884,13.573544973544973,4510000000.0,8159999999.0,19010000000.0,7740000000.0,6880000000.0,1
00310156,1,1,049180,셀루메드,82001944457.0,41269365403.0,4674181919.0,36860000000.0,39020000000.0,-11980000000.0,40730000000.0,17730000000.0,-4620000000.0,2016-08-01,373734306720.0,2160.0,2160.0,0.05700086686909037,9.055974160747141,0.9446437724243978,-0.010354949841143124,-31.196519759599333,-21720000000.0,-1860000000.0,1030000000.0,-14200000000.0,-6550000000.0,1
00311030,1,1,037620,미래에셋증권,0.0,0.0,0.0,0.0,0.0,174640000000.0,0.0,0.0,-3843469999999.0,2016-08-01,3045718462150.0,26650.0,26650.0,,inf,,0.0,17.439982032466787,149330000000.0,67550000000.0,111180000000.0,142120000000.0,168150000000.0,0
00311216,1,1,044990,에이치엔에스하이텍,42980000000.0,35190000000.0,10880000000.0,25520000000.0,7130000000.0,-880000000.0,7800000000.0,32730000000.0,2600000000.0,2016-08-01,33799788000.0,4500.0,4500.0,0.2531409958120056,0.9604941176470588,3.579242636746143,0.5242636433104255,-38.40885,4650000000.0,10620000000.0,7300000000.0,4020000000.0,,0
00313649,1,1,048410,현대바이오,43413786519.0,24604975239.0,12185811749.0,34120000000.0,9710000000.0,710000000.0,18810000000.0,40670000000.0,90000000.0,2016-08-01,240564158820.0,7940.0,7940.0,0.28068990811632827,9.777053481390825,3.513903192584964,0.06364206569714141,338.82275890140846,-570000000.0,-9660000000.0,-6620000000.0,-18300000000.0,-7059999999.0,0
00317210,1,1,043260,성호전자,98480000000.0,42500000000.0,11870000000.0,46170000000.0,49870000000.0,-3300000000.0,55990000000.0,80380000000.0,-2470000000.0,2016-08-01,45144397260.0,1530.0,1530.0,0.12053208773354995,1.062221112,0.9258070984559855,-0.2175242244002883,-13.680120381818181,-3570000000.0,-3160000000.0,700000000.0,3030000000.0,6050000000.0,0
00317487,1,1,043220,에이치엘비파워,23188902745.0,7495969474.0,-1810000000.0,12020000000.0,15480000000.0,-24140000000.0,15690000000.0,18480000000.0,-5150000000.0,2016-08-01,78150225225.0,2425.0,2425.0,-0.07805457722186845,10.425632801209563,0.7764857881136951,-0.046960837149653906,-3.237374698632974,-5420000000.0,-1600000000.0,-7170000000.0,-3660000000.0,-730000000.0,0
00317681,1,1,059210,메타바이오메드,113783500275.0,52001002590.0,25804698108.0,34850000000.0,52220000000.0,969999999.0,61779999999.0,68590000000.0,4930000000.0,2016-08-01,110465836150.0,5050.0,5050.0,0.22678769809008673,2.1243020451156265,0.6673688242052853,-0.24378577972679383,113.88230542668279,-4950000000.0,2830000000.0,2380000000.0,1730000000.0,730000000.0,0
00317830,1,1,086830,신양오라컴디스플레이,54529999999.0,8880000000.0,-280000000.0,26030000000.0,43150000000.0,-15900000000.0,45650000000.0,100410000000.0,2720000000.0,2016-08-01,40991640444.0,934.0,934.0,-0.005134788190081328,4.616175725675675,0.6032444959443801,-0.4786341748582498,-2.5780905939622643,-11810000000.0,-30760000000.0,-2060000000.0,5560000000.0,2980000000.0,0
00318316,1,1,045390,대아티아이,102165697752.0,71800798361.0,19401916110.0,56229999999.0,27910000000.0,5180000000.0,30360000000.0,82630000000.0,-2370000000.0,2016-08-01,144793347270.0,2035.0,2035.0,0.1899063632599738,2.016598012490169,2.0146900752060195,0.17866842977778202,27.952383642857143,4240000000.0,3080000000.0,2220000000.0,3160000000.0,3310000000.0,0
00318662,1,1,056730,포스링크,37746983175.0,17758962833.0,3192494287.0,0.0,0.0,0.0,0.0,0.0,-4320000000.0,2016-08-01,60769974900.0,1325.0,1325.0,0.08457614406426005,3.421932658537706,,0.0,inf,-7659999999.0,-18170000000.0,-3660000000.0,3120000000.0,5670000000.0,0
00323868,1,1,053580,웹케시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10450000000.0,2016-08-01,,,,,,,,,2800000000.0,2010000000.0,1230000000.0,2730000000.0,2120000000.0,1
00324104,1,1,047440,디케이씨,127580000000.0,64440000000.0,12250000000.0,54390000000.0,57529999999.0,-2310000000.0,63140000000.0,133730000000.0,5020000000.0,2016-08-01,56750910535.0,3415.0,3415.0,0.09601818466844333,0.8806783137026691,0.945419781000268,-0.15418254821838692,-24.567493738095237,960000000.0,-1850000000.0,290000000.0,330000000.0,6709999999.0,0
00325112,1,1,053610,프로텍,136149269504.0,107972615143.0,24650490861.0,51170000000.0,24520000000.0,10720000000.0,28180000000.0,75100000000.0,5030000000.0,2016-08-01,99450000000.0,11050.0,11050.0,0.1810548888789725,0.9210668822672067,2.086867862969005,0.23117144293614883,9.27705223880597,16030000000.0,8559999999.0,14690000000.0,18930000000.0,14530000000.0,0
00326731,1,1,064550,바이오니아,71990000000.0,34530000000.0,12650000000.0,32200000000.0,30810000000.0,-5370000000.0,37450000000.0,20830000000.0,409999999.0,2016-08-01,186147731000.0,12100.0,12100.0,0.1757188498402556,5.39089866782508,1.045115222330412,-0.028203405820724187,-34.66438193668529,-13769999999.0,-10360000000.0,-5460000000.0,-3650000000.0,-2160000000.0,1
00327396,1,1,082210,옵트론텍,238810000000.0,73180000000.0,26170000000.0,87150000000.0,124400000000.0,-570000000.0,165630000000.0,135480000000.0,13130000000.0,2016-08-01,155501047080.0,7710.0,7710.0,0.10958502575269043,2.12491182126264,0.7005627009646302,-0.5046911353569518,-272.80885452631577,-20920000000.0,21320000000.0,16080000000.0,9200000000.0,7450000000.0,0
00329093,1,1,047770,코데즈컴바인,29137617923.0,22087592220.0,-2887441969.0,7159999999.0,7030000000.0,-12380000000.0,7050000000.0,17640000000.0,-20490000000.0,2016-08-01,180698424550.0,4775.0,4775.0,-0.09909670641678556,8.180992421001877,1.0184921762446657,0.0006087490761136246,-14.595995521001615,-30280000000.0,-18800000000.0,-15150000000.0,6740000000.0,8630000000.0,1
00330044,1,1,050110,캠시스,258329413509.0,99129758364.0,42202762726.0,127150000000.0,113920000000.0,930000000.0,159200000000.0,422330000000.0,3810000000.0,2016-08-01,155724495690.0,3030.0,3030.0,0.16336801199964668,1.5709157195580632,1.1161341292134832,-0.2058121932454466,167.4456942903226,-1830000000.0,7470000000.0,-1310000000.0,3320000000.0,-7700000000.0,0
00332927,1,1,194370,제이에스코퍼레이션,158996596754.0,98643961039.0,59742910367.0,108590000000.0,52920000000.0,19590000000.0,60350000000.0,240290000000.0,17980000000.0,2016-08-01,251339419500.0,19500.0,19500.0,0.3757496172036588,2.5479453263300136,2.051965230536659,0.19193169179735453,12.829985681470138,13110000000.0,9590000000.0,2420000000.0,1480000000.0,7920000000.0,0
00335076,1,1,049480,오픈베이스,108875220750.0,50553633693.0,34416708272.0,54479999999.0,55879999999.0,4010000000.0,58320000000.0,118630000000.0,3540000000.0,2016-08-01,156012131595.0,4965.0,4965.0,0.31611149015282247,3.086071567919805,0.9749463135285423,-0.024613470515026714,38.90576847755611,2550000000.0,3100000000.0,2020000000.0,160000000.0,-1770000000.0,0
00336297,1,1,049720,고려신용정보,25217576856.0,15278841896.0,0.0,0.0,0.0,0.0,0.0,0.0,4470000000.0,2016-08-01,37251500000.0,2605.0,2605.0,0.0,2.4381101822745115,,0.0,inf,1390000000.0,670000000.0,1019999999.0,2270000000.0,830000000.0,0
