기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2008-매출액(수익),매출액(수익)-YoY,증자
00108135,1,1,005250,녹십자홀딩스,3345830000000.0,522780000000.0,281910000000.0,2029480000000.0,498520000000.0,75260000000.0,2823050000000.0,1523880000000.0,482600000000.0,131490000000.0,22900000000.0,147270000000.0,2010-08-02,368716527000.0,85600.0,85600.0,0.08425712005690665,0.14396113087723325,0.7052996040399403,4.071010190162882,-2.1522496061045833,4.899236340685623,0.24195903023860146,0.7640209842519685,51090000000.0,28.827363476218437,0
00108241,1,1,004370,농심,1863420000000.0,1210170000000.0,563590000000.0,798920000000.0,593120000000.0,127580000000.0,653240000000.0,2006930000000.0,214200000000.0,114800000000.0,400000000000.0,226719999999.0,2010-08-02,1380759734000.0,222500.0,222500.0,0.302449259962864,0.1054232050042556,1.1409634464579357,1.3469786889668196,0.10550713235094962,10.82269739771124,0.6879959609951518,6.446123874883287,1675850000000.0,0.19755944744458032,0
00108913,1,1,019680,대교,822179999999.0,604890000000.0,169450000000.0,222380000000.0,152890000000.0,56179999999.0,217290000000.0,867370000000.0,63020000000.0,49410000000.0,25000000000.0,137190000000.0,2010-08-02,449772133500.0,5270.0,5270.0,0.20609842127053213,0.09287639074707799,0.7435602068144621,1.4545097782719603,0.011316841620202333,8.005911952794694,0.5185470254908516,7.136974508092669,841090000000.0,0.031245169958030727,0
00108940,1,1,016710,대성홀딩스,685830000000.0,253410000000.0,109750000000.0,273440000000.0,254730000000.0,41000000000.0,432420000000.0,822860000000.0,58240000000.0,28289999999.0,20000000000.0,60390000000.0,2010-08-02,130324617900.0,8300.0,8300.0,0.160025079101235,0.161793141549268,0.5142836427133893,1.07345031994661,-1.2198769699980068,3.1786492170731706,0.1583800621004788,2.2377166535027473,597920000000.0,0.37620417447150123,0
00109170,1,1,004130,대덕GDS,408600000000.0,302230000000.0,59140000000.0,290180000000.0,98330000000.0,30880000000.0,106370000000.0,420480000000.0,26070000000.0,34410000000.0,30000000000.0,43030000000.0,2010-08-02,200817982880.0,9910.0,9910.0,0.14473813020068527,0.10217384111438309,0.6644541669589386,2.9510830875622904,0.9153064748680241,6.503173020725389,0.47759223477929985,7.703029646336786,261750000000.0,0.6064183381088826,0
00109286,1,1,000490,대동공업,378270000000.0,140220000000.0,109450000000.0,211730000000.0,180730000000.0,3790000000.0,238050000000.0,512739999999.0,-11760000000.0,4029999999.0,7000000000.0,29680000000.0,2010-08-02,117335998450.0,4265.0,4265.0,0.28934359055700953,0.027028954500071315,0.8367993043075168,1.1715265866209263,-0.22431308675670966,30.959366345646437,0.22884112503457668,-9.977550888605442,442580000000.0,0.15852501242487227,0
00109453,1,1,067250,STX조선해양,15071479999999.0,1321240000000.0,880210000000.0,9179740000000.0,9794470000000.0,-364950000000.0,13750240000000.0,11157180000000.0,-1627300000000.0,10860000000.0,87000000000.0,145700000000.0,2010-08-02,909916553050.0,12850.0,12850.0,0.05840235995403626,-0.2762177954043172,0.6886837766416397,0.9372370327337773,-5.022988080258444,-2.493263606110426,0.08155434913212838,-0.5591572254962207,3005650000000.0,2.7120689368356263,0
00109693,1,1,000210,대림산업,9608770000000.0,3930880000000.0,962510000000.0,5959010000000.0,3447030000000.0,364470000000.0,5677890000000.0,7622520000000.0,364780000000.0,501239999999.0,10000000000.0,616850000000.0,2010-08-02,2310720000000.0,67900.0,67900.0,0.10016994891125502,0.09271969635297948,0.5878378378378378,1.728737492856169,0.12165904999307575,6.339945674541115,0.3031438421939201,6.334557815669719,5892210000000.0,0.29366061291094514,0
00109718,1,1,003960,사조대림,276990000000.0,145930000000.0,84680000000.0,132570000000.0,108440000000.0,22750000000.0,131059999999.0,410739999999.0,43910000000.0,33720000000.0,0.0,42700000000.0,2010-08-02,101314578750.0,18700.0,18700.0,0.30571500776201305,0.15589666278352635,0.6942683392722538,1.2225193655477684,0.014904074217453132,4.453388076923077,0.24666353106648162,2.307323588020952,206719999999.0,0.9869388544939384,0
00109754,1,1,005750,대림비앤코,233880000000.0,149110000000.0,13000000000.0,70660000000.0,55340000000.0,-6930000000.0,84780000000.0,90570000000.0,17240000000.0,-1300000000.0,0.0,1580000000.0,2010-08-02,27600000000.0,1870.0,1870.0,0.0555840602018129,-0.04647575615317551,0.18509824961437865,1.2768341163715216,-0.5115942028985507,-3.982683982683983,0.304736667770785,1.6009280742459397,91740000000.0,-0.01275343361674297,0
