기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,날짜,시가총액,GP/A,PBR,유동비율,NCAV,2006-당기순이익,2005-당기순이익,2004-당기순이익,2003-당기순이익,2002-당기순이익
00113508,1,1,000320,노루홀딩스,533820000000.0,275170000000.0,85230000000.0,181120000000.0,166010000000.0,11170000000.0,258640000000.0,2008-10-01,81831388200.0,0.15966055973923796,0.2973848464585529,1.091018613336546,-0.9473137594896625,8590000000.0,10670000000.0,18390000000.0,13750000000.0,24530000000.0
00113526,1,1,003490,대한항공,17132770000000.0,4805590000000.0,2139309999999.0,2220850000000.0,3691030000000.0,37250000000.0,12327170000000.0,2008-10-01,2734921978000.0,0.12486655689646216,0.5691126329961566,0.6016884175961723,-3.6952864035231356,383010000000.0,200380000000.0,486680000000.0,-238280000000.0,111900000000.0
00114792,1,1,001230,동국제강,6252870000000.0,2701200000000.0,657840000000.0,3236470000000.0,2519000000000.0,230190000000.0,3551669999999.0,2008-10-01,2151485292000.0,0.10520608936376416,0.7964924078187472,1.2848233425962683,-0.1465034416786522,212600000000.0,320030000000.0,456239999999.0,131880000000.0,86490000000.0
00115287,1,1,004140,동방,524839999999.0,132270000000.0,57300000000.0,174080000000.0,280330000000.0,3679999999.0,392570000000.0,2008-10-01,83943483000.0,0.10917612986835831,0.6346373554093899,0.6209824135839903,-2.6028226634341585,8680000000.0,5810000000.0,7480000000.0,5660000000.0,3529999999.0
00115612,1,1,005960,동부건설,1668020000000.0,430750000000.0,150700000000.0,797490000000.0,972960000000.0,-34300000000.0,1237280000000.0,2008-10-01,170400497900.0,0.09034663852951404,0.39559024468949505,0.8196534287123828,-2.5809196887329047,15850000000.0,38750000000.0,57070000000.0,52040000000.0,52600000000.0
00115676,1,1,016380,KG동부제철,2819990000000.0,992190000000.0,135480000000.0,755980000000.0,1223410000000.0,33820000000.0,1827790000000.0,2008-10-01,314831409000.0,0.04804272355575729,0.3173095969521967,0.6179285766832051,-3.4043934923913515,-23760000000.0,15010000000.0,121730000000.0,41190000000.0,40190000000.0
00115694,1,1,016610,DB금융투자,0.0,0.0,0.0,0.0,0.0,9350000000.0,0.0,2008-10-01,286358537250.0,,inf,,0.0,25200000000.0,2410000000.0,2730000000.0,-12310000000.0,10960000000.0
00116824,1,1,000640,동아쏘시오홀딩스,713720000000.0,328690000000.0,379980000000.0,307340000000.0,246240000000.0,34800000000.0,385030000000.0,2008-10-01,1015047000000.0,0.5323936557753741,3.0881590556451366,1.2481319038336582,-0.07653832778186626,27080000000.0,25410000000.0,26570000000.0,23810000000.0,41900000000.0
00116949,1,1,007340,디티알오토모티브,351220000000.0,304340000000.0,47680000000.0,184000000000.0,43510000000.0,24330000000.0,46880000000.0,2008-10-01,188867079200.0,0.1357553670064347,0.6205792179798909,4.228912893587681,0.7260132394740819,10080000000.0,15710000000.0,21650000000.0,21130000000.0,23570000000.0
00117027,1,1,001780,알루코,264340000000.0,96290000000.0,22900000000.0,130420000000.0,128170000000.0,1610000000.0,168040000000.0,2008-10-01,51342614400.0,0.08663085420292048,0.5332081669955343,1.017554810017945,-0.7327246662374871,4540000000.0,-3540000000.0,7320000000.0,310000000.0,96500000000.0
00117179,1,1,013570,디와이,292980000000.0,175430000000.0,60600000000.0,199010000000.0,74150000000.0,16990000000.0,117550000000.0,2008-10-01,136726566340.0,0.20684005734179808,0.7793796177392692,2.683884018880647,0.5957876525431949,12190000000.0,10190000000.0,22020000000.0,12300000000.0,11970000000.0
00117188,1,1,004800,효성,6683980000000.0,1661690000000.0,1110980000000.0,2026250000000.0,2864290000000.0,198190000000.0,5022290000000.0,2008-10-01,2019253662500.0,0.1662153387652267,1.2151807271512738,0.7074178941378143,-1.4837363208199703,83550000000.0,-60270000000.0,63660000000.0,50260000000.0,50780000000.0
00117212,1,1,000150,두산,17188670000000.0,3170280000000.0,3267670000000.0,7281910000000.0,8649230000000.0,424180000000.0,14018379999999.0,2008-10-01,2807058392000.0,0.1901060407815148,0.8854291709249656,0.8419142513264186,-2.399832514776914,23230000000.0,7959999999.0,-41840000000.0,10440000000.0,-254819999999.0
00117230,1,1,002900,동양물산기업,260200000000.0,128570000000.0,67550000000.0,168420000000.0,101900000000.0,10960000000.0,131630000000.0,2008-10-01,46687674600.0,0.25960799385088396,0.36313039278214204,1.6527968596663396,0.7880024078132176,4430000000.0,5110000000.0,2970000000.0,2070000000.0,-880000000.0
00117300,1,1,002710,TCC스틸,292220000000.0,140220000000.0,31030000000.0,131970000000.0,123559999999.0,950000000.0,152000000000.0,2008-10-01,53325000000.0,0.10618711929368284,0.38029525032092426,1.0680640984223702,-0.3756211908110642,6770000000.0,7240000000.0,15219999999.0,8950000000.0,4460000000.0
00117337,1,1,001520,동양,22061430000000.0,1496030000000.0,1257460000000.0,9248740000000.0,12191020000000.0,80760000000.0,20565400000000.0,2008-10-01,358640223750.0,0.056998118435658975,0.23972796250743636,0.7586518601396766,-31.554352385996136,23230000000.0,-66970000000.0,-23520000000.0,1970000000.0,-34470000000.0
00117498,1,1,026890,디피씨,156880000000.0,95470000000.0,24970000000.0,86200000000.0,59120000000.0,3579999999.0,61410000000.0,2008-10-01,45429210750.0,0.15916624171341154,0.4758480229391432,1.4580514208389717,0.545684144424631,580000000.0,2230000000.0,-4350000000.0,-9140000000.0,2070000000.0
00117577,1,1,001800,오리온홀딩스,1919220000000.0,848340000000.0,710930000000.0,891679999999.0,673330000000.0,152090000000.0,1070870000000.0,2008-10-01,1173043395000.0,0.37042652744344057,1.382751485253554,1.324283783581602,-0.1527564971294178,109450000000.0,37310000000.0,20370000000.0,6260000000.0,34890000000.0
00117601,1,1,003470,유안타증권,0.0,0.0,0.0,0.0,0.0,156140000000.0,0.0,2008-10-01,982026071160.0,,inf,,0.0,160050000000.0,107230000000.0,74040000000.0,-18920000000.0,-16269999999.0
00117726,1,1,092780,동양피스톤,116009999999.0,20150000000.0,14860000000.0,47580000000.0,76090000000.0,860000000.0,95860000000.0,2008-10-01,,0.128092405828188,,0.625312130371928,,919999999.0,-3450000000.0,160000000.0,310000000.0,1190000000.0
00118008,1,1,018500,동원금속,171860000000.0,30610000000.0,21690000000.0,63250000000.0,96220000000.0,1330000000.0,141250000000.0,2008-10-01,15008000000.0,0.12620737809845223,0.49029728846782095,0.6573477447516108,-5.197228144989339,2440000000.0,1670000000.0,1190000000.0,-7259999999.0,-5470000000.0
00118266,1,1,004840,DRB동일,219130000000.0,89730000000.0,40610000000.0,105440000000.0,51560000000.0,-1190000000.0,129400000000.0,2008-10-01,45008000000.0,0.1853237804043262,0.5015936698985847,2.0449961210240497,-0.5323498044792037,1230000000.0,2990000000.0,3620000000.0,4360000000.0,4210000000.0
00118275,1,1,003160,디아이,142950000000.0,89770000000.0,36130000000.0,67340000000.0,24990000000.0,7080000000.0,53179999999.0,2008-10-01,38160313125.0,0.25274571528506473,0.4250898198173109,2.6946778711484596,0.3710661376026117,3370000000.0,9800000000.0,16210000000.0,5320000000.0,1710000000.0
00118345,1,1,001530,디아이동일,533089999999.0,309080000000.0,117820000000.0,253080000000.0,185450000000.0,3560000000.0,224010000000.0,2008-10-01,130961353600.0,0.22101333733557377,0.42371345153358353,1.3646805068751686,0.22197388161388093,59610000000.0,5870000000.0,4500000000.0,11350000000.0,19490000000.0
00118804,1,1,005290,동진쎄미켐,305550000000.0,90140000000.0,25750000000.0,80380000000.0,126350000000.0,2520000000.0,215410000000.0,2008-10-01,136112000000.0,0.0842742595319915,1.5100066563124028,0.6361693707954096,-0.992050664158928,-5060000000.0,8470000000.0,7920000000.0,1220000000.0,550000000.0
